domain,model,provider,complexity,response_latency,response_rate,agent_interruption_rate
All,Gemini 2.5 Flash,Google,control,1.395041775782314,0.957303255934291,0.06677402965579118
All,Gemini 2.5 Flash,Google,regular,1.4290764680251,0.8061947497739648,0.2064219008233377
All,GPT Realtime 1.5,OpenAI,control,1.692334986267608,0.9929586983879979,0.010041952740699174
All,GPT Realtime 1.5,OpenAI,regular,1.388785015483953,0.999286480438061,0.13540286519099273
All,xAI Realtime,xAI,control,1.051072798303115,0.9210151240903451,0.43547919147868974
All,xAI Realtime,xAI,regular,1.1492654229568544,0.913223367979192,0.8429014444073495
retail,Gemini 2.5 Flash,Google,control,1.4973080757726822,0.9588910133843211,0.06118546845124283
retail,Gemini 2.5 Flash,Google,regular,1.446351931330472,0.7945439045183291,0.16624040920716113
retail,GPT Realtime 1.5,OpenAI,control,1.8061181434599152,0.9905956112852664,0.008359456635318705
retail,GPT Realtime 1.5,OpenAI,regular,1.3924137931034484,0.9993108201240524,0.14679531357684356
retail,xAI Realtime,xAI,control,1.0876611418047877,0.839258114374034,0.29057187017001546
retail,xAI Realtime,xAI,regular,1.1152903569525845,0.9050144648023144,0.7738669238187078
airline,Gemini 2.5 Flash,Google,control,1.4041775456919066,0.9527363184079602,0.05970149253731343
airline,Gemini 2.5 Flash,Google,regular,1.4598382749326142,0.8047722342733189,0.19088937093275488
airline,GPT Realtime 1.5,OpenAI,control,1.7893854748603353,0.988950276243094,0.011049723756906077
airline,GPT Realtime 1.5,OpenAI,regular,1.427906976744186,0.9985486211901308,0.14223512336719885
airline,xAI Realtime,xAI,control,1.082985074626866,0.9331476323119776,0.6211699164345403
airline,xAI Realtime,xAI,regular,1.1765306122448969,0.9074074074074074,0.8252314814814815
telecom,Gemini 2.5 Flash,Google,control,1.2836397058823534,0.9602824360105914,0.0794351279788173
telecom,Gemini 2.5 Flash,Google,regular,1.3810391978122138,0.8192681105302465,0.2621359223300971
telecom,GPT Realtime 1.5,OpenAI,control,1.481501340482574,0.999330207635633,0.010716677829872739
telecom,GPT Realtime 1.5,OpenAI,regular,1.346034276604224,1.0,0.11717815862893582
telecom,xAI Realtime,xAI,control,0.9825721784776912,0.9906396255850234,0.39469578783151327
telecom,xAI Realtime,xAI,regular,1.155975299673082,0.9272482317278544,0.9296059279218593
