domain,provider,model,response_rate,response_latency,yield_rate,yield_latency,backchannel_error_rate,vocal_tic_error_rate,non_directed_error_rate
All,Google,Gemini 2.5 Flash,0.8061947497739648,1.4290764680251,0.5639941904339351,0.8592218721449493,0.15067340067340065,0.6607543323139654,0.5541090629800306
All,OpenAI,GPT Realtime 1.5,0.999286480438061,1.388785015483953,0.9996027016289233,0.41920419097495776,0.9811369509043928,0.947175491175491,0.9032062315194845
All,xAI,xAI Realtime,0.913223367979192,1.1492654229568544,0.7520328708220169,1.1529325640061032,0.07176879693755293,0.4162986115716821,0.788165318916076
retail,Google,Gemini 2.5 Flash,0.7945439045183291,1.446351931330472,0.6145454545454545,0.8627218934911244,0.0909090909090909,0.7155963302752294,0.5535714285714286
retail,OpenAI,GPT Realtime 1.5,0.9993108201240524,1.3924137931034484,1.0,0.4255744255744257,0.9666666666666668,0.9384615384615383,0.9156626506024096
retail,xAI,xAI Realtime,0.9050144648023144,1.1152903569525845,0.7020029311187103,1.1759220598469031,0.0655737704918032,0.3941908713692946,0.7834394904458599
airline,Google,Gemini 2.5 Flash,0.8047722342733189,1.4598382749326142,0.5725190839694656,0.7253333333333335,0.1111111111111111,0.6,0.4516129032258064
airline,OpenAI,GPT Realtime 1.5,0.9985486211901308,1.427906976744186,1.0,0.417479674796748,0.9767441860465116,0.935064935064935,0.9285714285714286
airline,xAI,xAI Realtime,0.9074074074074074,1.1765306122448969,0.7717265353418308,1.1243243243243242,0.0909090909090909,0.4056603773584906,0.8032786885245902
telecom,Google,Gemini 2.5 Flash,0.8192681105302465,1.3810391978122138,0.5049180327868853,0.9896103896103896,0.25,0.6666666666666666,0.6571428571428571
telecom,OpenAI,GPT Realtime 1.5,1.0,1.346034276604224,0.99880810488677,0.4145584725536994,1.0,0.968,0.8653846153846154
telecom,xAI,xAI Realtime,0.9272482317278544,1.155975299673082,0.7823691460055097,1.1585513078470824,0.0588235294117647,0.4490445859872611,0.7777777777777778
