domain,n_tasks,provider,model,control,regular,delta,delta_relative
All,278,Google,Gemini 2.5 Flash,0.3097076023391813,0.25789473684210523,-0.05181286549707609,-0.16729607250755307
All,278,OpenAI,GPT Realtime 1.5,0.4904093567251462,0.3526315789473684,-0.13777777777777778,-0.2809444311948486
All,278,xAI,xAI Realtime,0.5071345029239765,0.3831578947368421,-0.12397660818713446,-0.24446494464944643
retail,114,Google,Gemini 2.5 Flash,0.4473684210526316,0.2982456140350877,-0.14912280701754388,-0.33333333333333337
retail,114,OpenAI,GPT Realtime 1.5,0.7105263157894737,0.4473684210526316,-0.2631578947368421,-0.37037037037037035
retail,114,xAI,xAI Realtime,0.4824561403508772,0.3859649122807017,-0.09649122807017552,-0.20000000000000015
airline,50,Google,Gemini 2.5 Flash,0.28,0.3,0.019999999999999962,0.07142857142857129
airline,50,OpenAI,GPT Realtime 1.5,0.48,0.4,-0.07999999999999996,-0.1666666666666666
airline,50,xAI,xAI Realtime,0.46,0.36,-0.10000000000000003,-0.21739130434782614
telecom,114,Google,Gemini 2.5 Flash,0.2017543859649122,0.175438596491228,-0.02631578947368418,-0.13043478260869557
telecom,114,OpenAI,GPT Realtime 1.5,0.2807017543859649,0.2105263157894736,-0.07017543859649131,-0.2500000000000003
telecom,114,xAI,xAI Realtime,0.5789473684210527,0.4035087719298245,-0.17543859649122817,-0.3030303030303032
