batch,rater,task_id,simulation_id,trial,voice_prosody_quality,audio_environment_realism,turn_taking_naturalness,backchannel_naturalness,interruption_behavior,behavioral_plausibility,voice_prosody_quality_notes,audio_environment_realism_notes,turn_taking_naturalness_notes,backchannel_naturalness_notes,interruption_behavior_notes,behavioral_plausibility_notes,free_text_comments,completed,created_at
user_realism_eval_v2,Michael,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],cca276eb-576b-425d-91d7-dac2fc675008,0,2,2,3,3,3,3,"Some long pauses between turns, sounds like user is acting/reading from a script. There is also too much expressiveness and variation in tone, but this may be partially due to accent. Good pronunciation, emphasis, cadence overall","There was a lot of background noise, including dog barks, phone rings, which were louder and clearer than the user's voice. ",,,,,"Overall, a good call. Tone was a little off and there was a lot of background noise, which felt fake",TRUE,2026-03-26T19:13:42.978Z
user_realism_eval_v2,Michael,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],5f7fa82f-3450-4079-824d-b97415a44242,0,3,4,3,3,3,3,,,,,,,"Excellent call. Lot of background noise, but just sounded like a very busy street. Some interruptions, overtalking by agent and user, but could be just a result of the background noise. User was more natural than agent",TRUE,2026-03-26T19:14:49.040Z
user_realism_eval_v2,Michael,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],cf71972b-f62f-4153-845a-b24b3d0e72ca,0,3,4,3,3,3,3,"Like the first call, user sounded like reading/acting. Good intonation, but pacing felt too consistent/robotic",,,,,,"Pacing felt a little bit too consistent in some places, but still felt natural. Very good call",TRUE,2026-03-26T19:15:55.647Z
user_realism_eval_v2,Michael,[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],f2be47e2-b881-4ea4-ab37-9d3f60c7ba44,0,2,4,3,3,3,3,"User sounded lethargic, delayed, and low energy, like they were reading/acting.",,,,,,,TRUE,2026-03-26T19:16:44.521Z
user_realism_eval_v2,Michael,[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],54b00cef-fda3-4196-a7f9-ce19a70e2682,0,2,4,3,3,2,3,"Some emphasis inconsistencies in this one. User sounded like they were overacting, enunciated too clearly to be natural.",,,,"User felt slightly impatient, interrupting/cutting off agent",,,TRUE,2026-03-26T19:17:20.646Z
user_realism_eval_v2,Michael,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],30423c27-a7b8-4a8e-b4c3-327b22a9a6c9,0,2,4,2,3,3,2,"User feels unnatural, like they are reading. Good articulation, pronunciation, and intonation, but awkward emotionality.",,User did not pause or wait long enough when they were supposed to be doing something. Felt like it was not a real person,,,"User felt like they were reading a script, sounded like they were acting, but without understanding the scene or reading stage directions.",,TRUE,2026-03-26T19:17:52.095Z
user_realism_eval_v2,Michael,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],bf215d56-673e-4a36-8522-96d858b77551,0,2,4,3,3,4,3,Sounded like user was reading. Coughs without pausing before or after,,,,,,"User was slightly off, but very very natural overall. Background noise was there, but not overwhelming. Best call yet.",TRUE,2026-03-26T19:20:32.572Z
user_realism_eval_v2,Michael,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],f72a66d5-ec75-41b8-804a-889ce559fc1c,0,3,4,3,3,1,3,,,,,"There were a lot of interruptions/overtalking by user. Not enough time was given to do what user said they were doing (changing settings, checking status, restarting phone, etc.)",,"Slightly mechanical, but the biggest problem was the amount of interruptions/overtalking. It was almost like the user wasn't even having a conversation",TRUE,2026-03-26T19:22:21.580Z
user_realism_eval_v2,Michael,[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],379818d8-032d-4e64-8d10-eda220de68e6,0,4,4,1,3,1,3,,,"Didn't feel like a natural, back-and-forth conversation. Both sides didn't react naturally to the other side, just sounded like they were reading the script",,"Lot of interruptions, user not waiting for instructions or acknowledgement from agent to continue or proceed",,,TRUE,2026-03-26T19:23:04.487Z
user_realism_eval_v2,Michael,[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],e02b6c78-0743-48ac-b5b3-632d5de07541,0,2,4,3,3,3,3,"Unnatural cadence, sounds like acting",,,,,,"Only major shortcoming was user's awkward, almost-overpolite mechanical speech",TRUE,2026-03-26T19:23:53.416Z
