domain,provider,model,text_sota,text_nonthinking,control,control_delta,control_delta_rel,regular,regular_delta,regular_delta_rel
All,Google,Gemini 2.5 Flash,0.8466666666666667,0.5433333333333333,0.3097076023391813,-0.5369590643274853,-0.6342036192844315,0.25789473684210523,-0.5887719298245615,-0.6953999171156238
All,OpenAI,GPT Realtime 1.5,0.8466666666666667,0.5433333333333333,0.4904093567251462,-0.3562573099415205,-0.4207763503246305,0.3526315789473684,-0.49403508771929827,-0.5835060091172815
All,xAI,xAI Realtime,0.8466666666666667,0.5433333333333333,0.5071345029239765,-0.33953216374269013,-0.4010222406409726,0.3831578947368421,-0.4635087719298246,-0.5474513054289267
retail,Google,Gemini 2.5 Flash,0.81,0.76,0.4473684210526316,-0.36263157894736847,-0.4476933073424302,0.2982456140350877,-0.5117543859649123,-0.6317955382282867
retail,OpenAI,GPT Realtime 1.5,0.81,0.76,0.7105263157894737,-0.09947368421052638,-0.12280701754385973,0.4473684210526316,-0.36263157894736847,-0.4476933073424302
retail,xAI,xAI Realtime,0.81,0.76,0.4824561403508772,-0.32754385964912286,-0.40437513536928743,0.3859649122807017,-0.4240350877192984,-0.52350010829543
airline,Google,Gemini 2.5 Flash,0.83,0.53,0.28,-0.5499999999999999,-0.6626506024096385,0.3,-0.53,-0.6385542168674699
airline,OpenAI,GPT Realtime 1.5,0.83,0.53,0.48,-0.35,-0.4216867469879518,0.4,-0.42999999999999994,-0.5180722891566265
airline,xAI,xAI Realtime,0.83,0.53,0.46,-0.36999999999999994,-0.4457831325301204,0.36,-0.47,-0.5662650602409639
telecom,Google,Gemini 2.5 Flash,0.9,0.34,0.2017543859649122,-0.6982456140350879,-0.7758284600389865,0.175438596491228,-0.724561403508772,-0.8050682261208577
telecom,OpenAI,GPT Realtime 1.5,0.9,0.34,0.2807017543859649,-0.6192982456140351,-0.6881091617933723,0.2105263157894736,-0.6894736842105265,-0.7660818713450294
telecom,xAI,xAI Realtime,0.9,0.34,0.5789473684210527,-0.32105263157894737,-0.3567251461988304,0.4035087719298245,-0.49649122807017554,-0.5516569200779728
