batch,rater,task_id,simulation_id,trial,voice_prosody_quality,audio_environment_realism,turn_taking_naturalness,backchannel_naturalness,interruption_behavior,behavioral_plausibility,voice_prosody_quality_notes,audio_environment_realism_notes,turn_taking_naturalness_notes,backchannel_naturalness_notes,interruption_behavior_notes,behavioral_plausibility_notes,free_text_comments,completed,created_at
user_realism_eval_v2,Niko Pavkovic,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],cca276eb-576b-425d-91d7-dac2fc675008,0,2,3,3,3,4,3,"Pretty consistently delivers at the same pace without any fluctuation. The user call cutting in and out was did help. ""Hello are you still there"" sounds very robotic and scripted.",,,,,,,TRUE,2026-03-26T19:17:59.267Z
user_realism_eval_v2,Niko Pavkovic,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],5f7fa82f-3450-4079-824d-b97415a44242,0,2,3,2,3,2,3,Sounds natural in tones but not in expressiveness always...,,Lots of interruptions without any self correcting.,,User never pauses or changes any delivery even as agent continuously interrupts. User also interrupts and does not hesitate or otherwise as if they would want to get all the information rather than just run a script.,,"Still lacks awareness, but otherwise fairly close. Coughing and asking agent to wait was a good touch. User sometimes does not wait for information back from the agent.",TRUE,2026-03-26T17:10:55.198Z
user_realism_eval_v2,Niko Pavkovic,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],cf71972b-f62f-4153-845a-b24b3d0e72ca,0,3,3,2,3,2,2,,,"Sometimes interrupts without reason as if not listening to agent. Or before agent gives any critical piece of info. Just needs a slightly longer delay. It can still interrupt, but something should have triggered the thought.",,"Interruptions are mechanical. Not all, but several. ","Does sometimes respond based off agent, but not consistantly.",Agent changed mid conversation.,TRUE,2026-03-26T19:17:25.895Z
user_realism_eval_v2,Niko Pavkovic,[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],f2be47e2-b881-4ea4-ab37-9d3f60c7ba44,0,3,3,3,4,3,3,,,,,,,"This user was more on the better side than not. Still somewhat lacks expressive nature and at times the pace is too rigid. User sounds fairly monotone. ""I really don't like messing with settings"" for example does not change any pace or expressiveness.",TRUE,2026-03-26T19:16:53.447Z
user_realism_eval_v2,Niko Pavkovic,[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],54b00cef-fda3-4196-a7f9-ce19a70e2682,0,2,3,2,4,2,2,"Rigid and mechanical. "" It says my messaging app can't send MMS messages"" ""APN name is internet"" ",,"Interrupting and timing. ""Just a minute"" but jumps right back into into without taking a minute really.",,Interrupts and continues on without any recognition.,"Non reactive. As if not listening to agent ""Do you want me to reset the APN myself""","Agent changes mid conversation. User did good in many aspects. But still not reactive or listening, so feels disconnected from agent and information. Did do good things like apologize after sneeze, but still rigid, void of expressiveness and engagement",TRUE,2026-03-26T19:16:38.570Z
user_realism_eval_v2,Niko Pavkovic,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],30423c27-a7b8-4a8e-b4c3-327b22a9a6c9,0,3,3,3,3,3,2,,,Interrupts and does not listen,"Started very good, but most felt timed.",,"Occasionally human, but lacks any change in emotional reaction and a few long delays.",,TRUE,2026-03-26T19:21:07.574Z
user_realism_eval_v2,Niko Pavkovic,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],bf215d56-673e-4a36-8522-96d858b77551,0,2,3,3,3,3,3,mechanical delivery.,,,"cough but no real pause after, just right back to things as if nothing happened.",,,"While the user felt mechanical, it did make some good efforts with backchannel and interruptions. In the beginning user makes good conversation but as conversation persists, eventually stops anything extra, lie being cordial.  ",TRUE,2026-03-26T19:21:38.707Z
user_realism_eval_v2,Niko Pavkovic,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],f72a66d5-ec75-41b8-804a-889ce559fc1c,0,2,3,3,2,1,2,"Mechanical. flat Lack of expressiveness ""This is getting annoying""",,,Sneezing without any build up or pause.,"Not waiting for agent information. Starts out well, but throughout user interrupts agent prematurely frequently",Does not wait for agent or respond accordingly,,TRUE,2026-03-26T17:51:23.146Z
user_realism_eval_v2,Niko Pavkovic,[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],379818d8-032d-4e64-8d10-eda220de68e6,0,2,3,2,3,1,1,Feels like reading aloud. Forced emotion and lack of emotion.,,Not listening to agent,,"Frequent interuptions, no self correcting and not listening to agent at all",Not engaged with agent.,,TRUE,2026-03-26T17:56:07.335Z
user_realism_eval_v2,Niko Pavkovic,[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],e02b6c78-0743-48ac-b5b3-632d5de07541,0,2,3,3,3,3,3,"Mechanical - ""My mobile data isn't working right"" ""Can you help"" ""I don't have all day, can we keep going""",,,,,,,TRUE,2026-03-26T17:57:45.875Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],aa8badec-d01c-4983-a9f3-78e2d76e36ca,0,2,3,4,3,3,2,"Mechanical - ""Hello anyone there?"" ""Hi, I've been having issues with my phone"" ""Are you sill there""",,,,,Flat,,TRUE,2026-03-26T19:22:31.245Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],d68c6958-b7de-4182-9ca1-78bba93ba93a,0,2,3,2,3,3,3,Mechanical - lacking expressiveness generally.,,"Fairly good, but especially later in conversation, constantly interrupting and obviously not listening.",,,,"Behaved somewhat plausibly like a human. Engaged with agents information but very mechanical and occasionally too scripted to agents information. ""Why is my line suspended"" ",TRUE,2026-03-26T18:14:16.647Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],325d2b04-7b37-402e-a84e-b4a3f146295a,0,2,3,3,3,3,3,Mechanical - scripted - slow,,,,"interupting, no self correction,",,"Interrupts, disruptive, but self corrects. Pauses the interuption to wait for agent to finish",TRUE,2026-03-26T18:16:54.258Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],627ad75c-ccde-4862-9342-bd1ed38647d8,0,3,3,4,3,3,3,,,,,,,"I can't tell if ""Mmm hmmm"", expressions or interruptions are natural due to lack of context. But pacing, tones and things sounded believable.",TRUE,2026-03-26T18:22:54.886Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],f51fdb09-6fab-44a5-957f-a2f0d3539edb,0,3,3,4,4,3,3,,,,,,,"Pretty good. Still slightly mechanical, but closer to someone speaking english as a second language. A few interruptions that were rushed.",TRUE,2026-03-26T18:27:14.609Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],dfdfad8b-8b9a-4a81-9fb5-644e7bad32d6,0,2,3,3,3,3,2,"Mechanical - ""Hi, I'm having an issue with my phone."" Slow in delivery, rigid.",,,,,Mechanical timing,"Timing, delivery is slow and robotic",TRUE,2026-03-26T18:29:25.226Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],874c139c-a8d8-4627-a990-5fed549ff7c5,0,2,3,3,4,2,4,mechanical,,,,"Very good, but interruptions at times are rushed before agent gives any info",,Overall pretty good. Rigid and a few interruptions that came in too early. Otherwise this iser did pretty well,TRUE,2026-03-26T19:20:24.956Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None],30a95313-9c86-4479-a38d-d1ceefa6e9b5,0,2,3,4,3,2,4,"Mechanical delivery. ""What should I do, if I don't know it"" ""Okay, I'll try those""",,,,"Fairly good, but seveal interruptions without trigger. Not in response or feels un warranted. Not listening and then responding to agent, as if not listening",,,TRUE,2026-03-26T18:53:00.928Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],3bda05df-897b-4cc7-8faf-05eac5f401bb,0,2,3,4,4,3,3,"Mechanical - no changes in pace or expressions really. ""I'm not really sure where to find it""",,,,,,"Interuptions were pretty good, but still not listening and then respondine, either with interupting or otherwise",TRUE,2026-03-26T18:56:03.700Z
user_realism_eval_v2,Niko Pavkovic,[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],83d5f49d-85d8-4968-b3c4-529f2284df68,0,3,3,4,4,3,3,,,,,,,No self awareness when talking over agent as if no interest in listening.,TRUE,2026-03-26T18:59:25.271Z
user_realism_eval_v2,Niko Pavkovic,0,fcc4762d-f560-420f-b085-b40fe1766104,0,2,3,3,4,4,4,Mechanical - rigid,,,,,,,TRUE,2026-03-26T19:12:31.205Z
user_realism_eval_v2,Niko Pavkovic,1,b45994f2-de65-4d7a-87c8-e8f256788aec,0,3,3,4,4,3,3,,,,,,,,TRUE,2026-03-26T19:14:16.184Z
user_realism_eval_v2,Niko Pavkovic,4,d4842acb-6e3b-4de2-9390-6cec24464af5,0,3,3,3,4,4,4,,,,,,,,TRUE,2026-03-26T19:15:53.516Z
user_realism_eval_v2,Niko Pavkovic,15,bcc2b71d-bd63-4178-be1f-17190add421f,0,3,3,4,4,4,3,,,,,,,,TRUE,2026-03-26T19:28:33.890Z
user_realism_eval_v2,Niko Pavkovic,18,57cce2c0-c43c-4928-9580-bba0d709e4b3,0,3,3,4,4,3,3,,,,,,,,TRUE,2026-03-26T19:29:50.531Z
user_realism_eval_v2,Niko Pavkovic,20,a4c694a1-cfd6-4d55-ae9a-bf34199ca6ba,0,3,3,3,4,3,4,,,,,,,,TRUE,2026-03-26T19:31:16.253Z
user_realism_eval_v2,Niko Pavkovic,21,909da25c-a72d-49e4-9fcd-020f4836ad3f,0,2,3,4,4,3,4,Mechanical - Especially opening dialogue,,,,,,,TRUE,2026-03-26T19:33:43.848Z
user_realism_eval_v2,Niko Pavkovic,21,4435bd5c-16cf-4632-bed7-ade4d10c4e1c,0,2,3,3,4,3,3,mechanical - timing very rigid,,,,,,Agent changes mid conversation.,TRUE,2026-03-26T19:36:12.536Z
user_realism_eval_v2,Niko Pavkovic,21,6132db8b-40e9-4b53-a729-ce0b1520c023,0,2,3,3,3,2,2,Mechanical - Rigid timing,,,,"Offered the answer before the question ""Ethan""",Not listening and then responding.,"""Uh huh"" came in natural but caught the agent off guard. Did feel at an un natural level even if the timing seemed ok.",TRUE,2026-03-26T19:38:47.414Z
user_realism_eval_v2,Niko Pavkovic,22,70ececfe-a6a8-4344-9d4f-fb7fb66a41c3,0,3,3,4,4,4,4,,,,,,,"Agent continuosly interrupts even while user continues to give the information, handles it well as the goal is clearly to get the right information to the agent",TRUE,2026-03-26T19:41:34.956Z
user_realism_eval_v2,Niko Pavkovic,27,66bf9684-5a38-423b-a662-9c98153bf84a,0,3,3,3,4,4,4,,,,,,,,TRUE,2026-03-26T19:42:29.456Z
user_realism_eval_v2,Niko Pavkovic,27,d1e08c17-e326-4a34-a4bc-81c2c9652e0b,0,3,3,3,4,3,3,,,,,,,,TRUE,2026-03-26T19:44:34.506Z
user_realism_eval_v2,Niko Pavkovic,29,e78815f8-3cba-4bb0-8099-d31a37d8ae61,0,2,3,4,2,2,4,Mechanical - slow delivery.,,,"Cough felt very staged, bad timing, no realistic recovery or effect from coughing.","Starts good, but both agent and user eventually begin interrupting and talk over each other, rushing the agent as well.",,,TRUE,2026-03-26T19:49:30.761Z
user_realism_eval_v2,Niko Pavkovic,30,09c27ce9-dc18-43e7-8155-dfcee67a0bf1,0,2,3,3,4,2,3,"Rigid, robotic",,,,answering before question,,,TRUE,2026-03-26T19:50:55.659Z
user_realism_eval_v2,Niko Pavkovic,33,17d05613-6d3a-4391-b8f6-578a7209fbd4,0,3,3,4,4,3,4,,,,,,,"""Yes that's right"" is a good example of what's holding it back from being a 4 for Prosody",TRUE,2026-03-26T19:58:10.013Z
