domain,n_tasks,provider,model,text_sota,voice,delta,delta_relative
All,278,Google,Gemini 2.5 Flash,0.8466666666666667,0.25789473684210523,-0.5887719298245615,-0.6953999171156238
All,278,OpenAI,GPT Realtime 1.5,0.8466666666666667,0.3526315789473684,-0.49403508771929827,-0.5835060091172815
All,278,xAI,xAI Realtime,0.8466666666666667,0.3831578947368421,-0.4635087719298246,-0.5474513054289267
retail,114,Google,Gemini 2.5 Flash,0.81,0.2982456140350877,-0.5117543859649123,-0.6317955382282867
retail,114,OpenAI,GPT Realtime 1.5,0.81,0.4473684210526316,-0.36263157894736847,-0.4476933073424302
retail,114,xAI,xAI Realtime,0.81,0.3859649122807017,-0.4240350877192984,-0.52350010829543
airline,50,Google,Gemini 2.5 Flash,0.83,0.3,-0.53,-0.6385542168674699
airline,50,OpenAI,GPT Realtime 1.5,0.83,0.4,-0.42999999999999994,-0.5180722891566265
airline,50,xAI,xAI Realtime,0.83,0.36,-0.47,-0.5662650602409639
telecom,114,Google,Gemini 2.5 Flash,0.9,0.175438596491228,-0.724561403508772,-0.8050682261208577
telecom,114,OpenAI,GPT Realtime 1.5,0.9,0.2105263157894736,-0.6894736842105265,-0.7660818713450294
telecom,114,xAI,xAI Realtime,0.9,0.4035087719298245,-0.49649122807017554,-0.5516569200779728
